Trade Number,P&L
116,59.13884972573578
117,-234.55301232282
118,513.5216300152388
119,-17.74893763577711
120,-115.59258246731042
121,192.50258709979244
122,117.28543913049725
123,500.71492959884927
124,-265.3266019284092
125,-572.5994789914403
126,348.61469775589285
127,-142.07495006838144
128,-51.601432839321205
129,211.62613322297693
130,-5.540420466688374
131,39.66669999597798
132,513.8320557576917
133,-213.5284970909197
134,-31.879501658433583
135,995.4746680723074
136,109.43519721925259
137,-64.97703865396397
138,843.929750006213
139,222.0805723661033
140,77.01494998204726
141,-184.20950946094308
142,167.27738666624282
143,-212.5270660554488
144,-77.58202529272967
145,28.96950094306885
146,261.25698170125906
147,-141.1370040731199
148,-267.87341184329125
149,-191.93605525632302
150,137.78874743774213
151,-515.9969393900101
152,-159.29312511878743
153,-55.8869103198158
154,698.6589920779006
155,-99.82118839815666
156,139.79639644434428
157,164.0149493111203
158,-48.706193932051974
159,266.7036054176424
160,195.31499829299355
161,-332.754944986762
162,137.77041298910262
163,-83.66821543027982
164,-134.48172495090694
165,-6.64182850553334
166,107.79344035256509
167,-148.83964368499437
168,218.89978203716964
169,233.1093347836977
170,-180.83067847541315
171,73.63027767782842
172,0.697340688566328
173,-336.1480127853574
174,1191.7104929881389
175,-264.44490516818405
176,403.24002358712823
177,-73.14915279894922
178,50.518442995857185
179,-122.0749767035195
180,269.53613082093943
181,232.55547477118307
182,135.6273749535867
183,-109.55390553124016
184,535.1952782238623
185,-276.6553975273855
186,73.18240690986568
187,-43.04925963810092
188,22.250670377427014
189,233.72248147580103
190,172.1845172646208
191,-33.0040775831003
192,80.15004793651315
193,124.95421496648123
194,-108.14407504363771
195,8.12425450002047
196,-213.13756808405742
197,-303.37582305861724
198,-48.958385438410915
199,-170.86327396799607
200,44.7342808796202
201,-61.121179034525994
202,217.66004915377562
203,360.54501586467086
204,169.17141021685165
205,156.98636120123774
206,-11.721688319281384
207,-65.54215072868465
208,213.56571731250733
209,-38.47740457416148
210,-403.312725936019
211,171.07913552460377
212,115.58398210808446
213,-72.42662748711882
214,192.6554112155536
215,-91.27304259979064
216,51.132871465477365
217,58.940060162887676
218,-381.90568193961735
219,315.3768805039217
220,-69.53150007630393
221,259.10687266739114
222,259.3622515517127
223,-93.8435846252396
224,-105.06860605282054
225,59.0036370993912
226,125.22016295315552
227,15.998620530828703
228,197.25720398584053
229,670.4879612895274
230,118.0897339432995
231,-68.34584900660047
232,-75.06510319500558
233,224.04800111654367
234,86.2587852668803
235,176.6396221763771
236,-123.1864769949716
237,498.3686900942248
238,37.282888543260924
239,326.6336809937893
240,-89.3166772965833
241,197.31255747494288
242,311.4149439919638
243,110.17571597636561
244,-152.585435892619
245,17.835697588427138
246,298.95559585474257
247,-24.059244665899314
248,25.12746686666287
249,113.37083599713151
250,104.59021032419332
251,418.87816906257285
252,-280.57098829592724
253,-223.6384748990131
254,-7.672684732762718
255,216.13102099591015
256,32.59431501552717
257,177.93298912182945
258,318.4107790584985
259,210.744141217996
260,193.75773444595325
261,42.347838008563485
262,-170.4743545180736
263,196.53742442147632
264,-303.8131940932308
265,-142.1129023568119
266,-15.257022914833215
267,85.42240783112902
268,-50.394229445686506
269,168.61622754954806
270,91.6753449214284
271,-20.497165149095963
272,630.3551658977958
273,-197.46585383026286
274,211.2510932320347
275,-52.15352782241462
276,-5.963155363802798
277,154.12509950279855
278,395.2392125625156
279,-25.354759138814188
280,151.8242349029333
281,300.6973979688755
282,44.000006078094884
283,186.95435124100004
284,128.302742080994
285,-44.446660169649476
286,78.05584515964256
287,-563.5170018153567
288,-89.06737433727358
289,-56.111235964579464
290,72.88394657492609
291,84.92548273334069
292,-45.996675385775234
293,0.5154543387525337
294,-254.01137145222674
295,-62.26233917117497
296,-95.53441511735036
297,-213.92926045309468
298,148.21806637800728
299,20.32520026631755
300,43.9694144906116
301,145.1501310314925
302,-161.05333683534082
303,220.91699660883205
304,-102.14232101740163
305,-327.47703877860295
306,189.59492466998563
307,122.46846768955584
308,52.72280801620036
309,-153.6216133270591
310,165.43177643830495
311,-161.723063086436
312,-156.26955149955756
313,16.093741397051417
314,100.51990542482417
315,175.22031370218428
316,-74.17488142397451
317,-259.3200488435614
318,-65.26096307370062
319,-19.70095587929609
320,-582.3032701783013
321,-212.11659459781004
322,385.68291813311225
323,-168.1833954414833
324,-45.42702291112437
325,391.3542842361676
326,324.73330097905273
327,-327.88066169717786
328,82.6160493240568
329,62.45888178055975
330,343.7101530347936
331,3.835955182850739
332,80.82714752731044
333,197.4256202566612
334,-410.45993904766146
335,81.00404781672842
336,-92.2867453067447
337,-302.3259070921267
338,76.53169746557614
339,104.58943328950045
